Clustering_Method,Cluster,Sample_Count,Age_Mean,Age_Median,Age_Std,TB_Mean,TB_Median,TB_Std,DB_Mean,DB_Median,DB_Std,Alkphos_Mean,Alkphos_Median,Alkphos_Std,Sgpt_Mean,Sgpt_Median,Sgpt_Std,Sgot_Mean,Sgot_Median,Sgot_Std,TP_Mean,TP_Median,TP_Std,ALB_Mean,ALB_Median,ALB_Std,A/G Ratio_Mean,A/G Ratio_Median,A/G Ratio_Std,Label_Mean,Label_Median,Label_Std,Gender_Male_Proportion,Gender_Male_Count,Gender_Female_Proportion,Gender_Female_Count
Clusters_KProto_k2,0,568,44.973591549295776,45.0,16.220297987270047,3.189612676056338,1.0,6.128734863850241,1.4360915492957746,0.3,2.772506148020288,288.40669014084506,208.0,238.70896529852672,59.054577464788736,35.0,74.34175941161025,82.28697183098592,41.0,121.41299367361522,6.491197183098592,6.6,1.0860961805619265,3.142429577464789,3.1,0.7977342774353097,0.9463908450704225,0.925,0.31979518696997483,1.2904929577464788,1.0,0.4543900343331588,0.7552816901408451,429.0,0.24471830985915494,139.0
Clusters_KProto_k2,1,11,34.90909090909091,34.0,13.52371654135464,9.80909090909091,6.2,8.045303542496647,4.490909090909091,3.0,3.549212460660687,444.1818181818182,289.0,414.45212466141805,1220.8181818181818,1250.0,411.96160456572125,1562.8181818181818,1050.0,1286.3789346986225,5.990909090909091,5.7,0.9191893661858208,2.936363636363636,2.8,0.5920687920718795,0.9818181818181819,1.1,0.32192602199319587,1.0,1.0,0.0,0.9090909090909091,10.0,0.09090909090909091,1.0
Clusters_KProto_k4,0,43,45.93023255813954,46.0,13.286934772885534,20.93720930232558,18.4,10.87305589094117,9.79767441860465,9.0,3.534691228657612,441.83720930232556,332.0,323.76526845647487,108.62790697674419,60.0,113.45148391562716,190.86046511627907,130.0,162.08295662514905,6.5302325581395335,6.6,1.0709441503647343,2.6325581395348836,2.5,0.602265931704338,0.7974418604651162,0.7,0.5445884991845451,1.0,1.0,0.0,0.8372093023255814,36.0,0.16279069767441862,7.0
Clusters_KProto_k4,1,519,44.88053949903661,45.0,16.449794535158166,1.696339113680154,0.9,1.7355598633351896,0.7315992292870905,0.3,1.0315877598412222,276.0828516377649,202.0,227.4376975124562,50.23699421965318,32.0,52.254460741602905,65.64161849710983,38.0,86.38047001761575,6.491714836223506,6.6,1.08363963239057,3.1907514450867054,3.2,0.7943035692409494,0.9618304431599228,1.0,0.290405657827894,1.3179190751445087,1.0,0.46611710917074395,0.7475915221579962,388.0,0.2524084778420039,131.0
Clusters_KProto_k4,2,2,49.0,49.0,24.041630560342615,12.0,12.0,0.9899494936611655,5.9,5.9,0.4242640687119289,652.0,652.0,647.7098115668775,1625.0,1625.0,530.3300858899106,3937.5,3937.5,1402.1927470929238,6.35,6.35,0.9192388155425116,2.8499999999999996,2.8499999999999996,0.6363961030678927,0.9,0.9,0.5656854249492381,1.0,1.0,0.0,1.0,2.0,,
Clusters_KProto_k4,3,15,37.53333333333333,34.0,14.764178012370088,7.660000000000001,5.7,7.287837225718712,3.486666666666667,2.8,3.2066597366522487,340.73333333333335,289.0,302.3317635282393,865.2,790.0,434.4696602920459,918.6666666666666,850.0,294.47354153924704,6.013333333333334,6.1,1.1716085808266627,2.8200000000000003,2.8,0.7664388895590903,0.8713333333333334,0.9,0.31714950657979835,1.0,1.0,0.0,0.8666666666666667,13.0,0.13333333333333333,2.0
Clusters_KProto_k5,0,494,45.058704453441294,45.0,16.539172111676436,1.619838056680162,0.9,1.6698772513490603,0.6767206477732793,0.2,0.9627360093138719,272.4331983805668,199.0,229.72128493817053,41.68016194331984,31.0,31.197774716081668,51.13967611336032,35.0,41.8627469093889,6.483400809716598,6.5,1.0905121771900341,3.1809716599190283,3.1,0.798097552338789,0.9595546558704453,1.0,0.2933851597750822,1.3319838056680162,1.0,0.4714025851680649,0.7469635627530364,369.0,0.25303643724696356,125.0
Clusters_KProto_k5,1,2,49.0,49.0,24.041630560342615,12.0,12.0,0.9899494936611655,5.9,5.9,0.4242640687119289,652.0,652.0,647.7098115668775,1625.0,1625.0,530.3300858899106,3937.5,3937.5,1402.1927470929238,6.35,6.35,0.9192388155425116,2.8499999999999996,2.8499999999999996,0.6363961030678927,0.9,0.9,0.5656854249492381,1.0,1.0,0.0,1.0,2.0,,
Clusters_KProto_k5,2,33,43.54545454545455,44.0,15.270664092245033,4.163636363636363,3.7,3.399523696584032,2.203030303030303,1.9,1.9144981144683928,343.6363636363636,298.0,164.72625363421471,264.93939393939394,220.0,129.27150193341615,429.72727272727275,397.0,232.03694112243105,6.527272727272727,6.8,1.04918799771321,3.1696969696969695,3.2,0.8217682339340152,0.9163636363636363,1.0,0.27639213743586055,1.0303030303030303,1.0,0.17407765595569785,0.7878787878787878,26.0,0.21212121212121213,7.0
Clusters_KProto_k5,3,41,45.09756097560975,45.0,13.024601487279332,21.319512195121952,18.5,10.986041587218644,9.96829268292683,9.5,3.518411504101691,436.4146341463415,315.0,327.83639026271595,102.6829268292683,58.0,111.02442051737768,177.9268292682927,125.0,152.76197011100348,6.5560975609756085,6.6,1.0849075491690074,2.6560975609756095,2.6,0.6070620975187814,0.8119512195121951,0.7,0.553413134611906,1.0,1.0,0.0,0.8292682926829268,34.0,0.17073170731707318,7.0
